source_mizo,reference_english,baseline_prediction
Dama-an Mary-in a tawpah chuan chu chu tih a duh dawn tih a hre lo a ti.,Dama said that he didn't know that Mary was going to eventually want to do that.,Dama said that he didn't know that Mary would eventually want to do that.
Zira chu high sikul zirlai pangngai tak a ni thin.,Zira was a typical high school student.,Zira used to be a regular high school student.
US-a California state chuan ramsa hmul aá¹­anga thil siamchhuah hman leh zawrh a khap.,The US state of California banned the use and sale of products made from animal fur.,The state of California in the US banned the use and sale of products from wild animals.
Zira chu a thutna atangin a tho.,Zira stood up from his chair.,Zira got up from his seat.
Feli chuan in lamah min rawn ko a.,Feli called me at home.,Feli called me home.
Nunpuii chuan in chu lei a tum ta a.,Nunpuii decided to buy the house.,Nunpuii decided to buy that house.
Ka thenawm thar te hming chu Dina leh Ziri te an ni in ka hria.,I think my new neighbors' names are Dina and Ziri.,I think my new neighbors' names are Dina and Ziri.
A thil tih avangin Thanga hna atanga ban a nih hmel.,Thanga will very likely get fired for doing that.,Thanga seems to be fired for doing that.
Biaka chuan car kang lai chu a hmu.,Biaka saw the burning car.,Biaka saw the burning car.
Thomas-a chu á¹­ha taka enkawl a ni.,Thomas is treated very well.,Thomas was treated well.
Australia-a zin kual turah ka ngai che.,I thought you were going to travel around Australia.,I thought you were going to travel to Australia.
Liani class-a mipa zawng zawng chuan hmelá¹­ha an ti.,All the boys in Liani's class think she's cute.,All the boys in Liani's class think she's pretty.
Kawngzawhnaah hian Zonuam veng chhung bakah hmeichhe naupang lainattu thahnem tak an tel.,"""Besides residents of Zonuam locality, many sympathizers of the girl child participated in the procession.""","""Besides Zonuam Veng, a large number of female farmers participated in the procession."""
Goal luhna kawngah Messi leh Suarez te an inrawlh vek bawk.,Messi and Suarez were also involved in the build-up to the goal.,Messi and Suarez are also involved in the goal entry.
Biaka chuan a ti thak chhunzawm a.,Biaka continued to tickle her.,Biaka continued to do that.
Hmingdailova Khiangte chuan Mizote a bikin thalai leh naupang ten ngaihtuahna thianghlim leh sukthlek dik neihna kawngah an hniam hle tih a sawi.,"""Hmingdailova Khiangte said that Mizos, especially the youth and children, are very low in terms of having pure thoughts and the right mindset.""",Hmingdailova Khiangte said that Mizos especially youth and children are very low in terms of having clean and good mindset.
Emmanuel Adebayor chuan instagram kaltlangin football khelh a chawlhsan thu a puang.,Emmanuel Adebayor announced through Instagram that he has retired from playing football.,Emmanuel Adebayor announced his retirement from playing football through Instagram.
Anni nen hian Mizoramah Covid 19 hri kai enkawl lai pahnih an awm.,"""With them, there are two Covid 19 infected persons being treated in Mizoram.""","""Including them, there are two Covid-19 cases being treated in Mizoram."""
Europe tih loh zawng khawmualpui dang ho chu group khatah pakhat chauh an awm thei.,"""Except for Europe, only one team from other continents can be in one group.""","""Except for Europe, there can be only one other continents in the same group."""
South Korea chu 5G service hmanna hmasa ber a ni nghal bawk.,South Korea also immediately became the first to use 5G service.,South Korea was also immediately the first 5G service.
Tunah chuan David a lo thleng tawh thin.,David is usually in by now.,David has arrived by now.
Biaki chuan a inah tumah a luh tir lovang.,Biaki wouldn't let anyone into his house.,Biaki won't let anyone in his house.
Rina leh Thari an dilchhut hle tih ka hria.,I know that Rina and Thari are curious.,I know that Rina and Thari are very curious.
Inthlan boruak thlirin Mizoram pumah Kohhran Pawl hrang hrangte pawimawhna a lang chiang hle a tih theih a.,"""Looking at the election atmosphere, it can be said that the importance of various Church denominations in Mizoram is very evident.""","""Considering the election atmosphere, it can be said that the importance of various Church denominations in the whole of Mizoram is clearly evident."""
IMD kum 150-na pualin Rs. 150 thir tlangzarhin IMD Vision 2047 a tlangzarh bawk.,"""On the occasion of IMD's 150th anniversary, he released a Rs. 150 coin and also launched IMD Vision 2047.""","""For the 150th year of IMD, it launched Rs. 150 and released IMD Vision 2047."""
Lakers tan hian Anthony Davis chuan point 20 a thawkchhuak.,Anthony Davis produced 20 points for the Lakers.,Anthony Davis scored 20 points for the Lakers.
Fela pawh a inhliam na hle.,"""Fela was severely injured, too.""","""Fela was hurt, too."""
La Liga aá¹­angin division hniam lamah an tla thla a ni.,They were relegated from La Liga to a lower division.,They dropped from La Liga to the lower division.
Hminga chuan memo a dawng lo.,Hminga didn't get the memo.,Hminga didn't get a memo.
Mizo thalaite hmakhua ngaiin sorkarin infiamna lamah pawh nasa takin a la mek chho zel.,"""Considering the future of Mizo youth, the government is also continuing to take significant steps in sports.""","""Considering the welfare of Mizo youth, the government is continuing to progress significantly in sports as well."""
Khuma-an chutiang chuan Rini a ti zak dawn niin a hria tih a sawi.,Khuma said that he thought that would embarrass Rini.,Khuma said he thought that Rini would be embarrassed to do that.
Minute 76-naah Adams hian a khung ve leh ta thung.,"""In the 76th minute, Adams scored in his turn.""","""In the 76th minute, Adams scored again."""
Rev. Vanlalnghaka Jongte in hunserh a hmang a.,Rev. Vanlalnghaka Jongte conducted the ceremonial service.,Rev. Vanlalnghaka Jongte conducted the devotion.
Fela a beidawng á¹­an.,Fela was starting to feel desperate.,Fela started to give up.
Muana chuan Thari chu khawvela hmeichhe hmeltha ber niin a ngai.,Muana thought Thari was the most beautiful woman in the world.,Muana thinks Thari is the most beautiful woman in the world.
Vana leh Pari te chuan Boston-a a lo kal avangin an lawm tih John an hrilh a.,Vana and Pari told John that they were glad that he'd come to Boston.,Vana and Pari told John that they were glad that he had come to Boston.
Ni thin kum 2006 atanga Force Motors tia thlak tak a ni.,It was renamed Force Motors from 2006.,It has been renamed Force Motors since 2006.
Biaka chuan French á¹­awng hman nuam a tih thu a sawi.,Biaka said that he likes speaking French.,Biaka said that he enjoyed speaking French.
Biaka chuan a tih tur a hre lo niin a lang.,Biaka seemed to be unaware of what he needed to do.,Biaka didn't seem to know what he was supposed to do.
"""Kum 2011 chhiarpuiah khan Mizoramah kut hnathawk hi 4,86,705 an awm.""","""In the 2011 census, there were 4,86,705 manual farmers in Mizoram.""","""In the 2011 census, there were 4,86,705 manual laborers in Mizoram."""
Kum 28 mi Walcott bakah Wayne Rooney a awm sa bawk.,"""Besides the 28-year-old Walcott, Wayne Rooney is also there.""","""Besides the 28-year-old Walcott, there is also Wayne Rooney."""
Kerr County bikah chauh mi 95 an thi tih thuneituten an sawi.,Authorities stated that 95 people died in Kerr County alone .,Authorities said that 95 people died only in Kerr County alone.
Feli chu ka unaupa thianpa a ni a.,Feli was a friend of my brother's.,Feli was a friend of my brother's.
Stephen chuan Pathian hnenah pui turin a dil.,Stephen asked God to help him.,Stephen asked God to help him.
A theih ang a rang a tih a duh thu Chhana-an a sawi.,Chhana said he'd like to do that as soon as possible.,Chhana said he wanted to do that as soon as possible.
Sangtea pa chu a thinrim lutuk.,Sangtea's dad was so pissed.,Sangtea's father was too angry.
"""Lo tha thuai ang che, tiin Aguero duhsakna a hlan.""","""Get well soon, Aguero wished him.""","""It will be good for you soon, he wished Aguero a favor."""
FMGEW hruaitute á¹­hutkhawmah hian Federation Enclave sak chungchang an ngaihtuah.,"""In the meeting of FMGEW leaders, they considered the construction of Federation Enclave.""","""In the meeting of FMGEW leaders, they considered the construction of the Federation Enclave."""
Ka hriat a mi hausa ber zingah Tluanga a tel.,Tluanga is one of the richest men I know.,Tluanga is one of the richest people I know.
Liana chuan Zoremi hmel chu a hre chiang khawp mai.,Liana knows what Zoremi looks like.,Liana knows Zoremi's face.
Fur ruahtui tlak nasat hmaa hna zo hman thei tura tan la turin NHIDCL leh EFCC department hotute a hriattir bawk.,He also instructed NHIDCL and EFCC department officials to strive to complete the work before heavy monsoon rains fall.,He also informed NHIDCL and EFCC department officials to strive to complete the work before heavy monsoon rains.
Hminga chuan pawisa a siam tam lo.,Hminga doesn't make much money.,Hminga doesn't make much money.
Tih theih a neih loh thu Kima-an a sawi.,Kima said there wasn't anything he could do.,Kima said he didn't have the ability to do that.
"""Sangi chuan a chau a, haw a duh thu a sawi.""",Sangi said she was tired and wanted to go home.,Sangi said she was tired and wanted to go home.
Chung zinga 12 chu Court-ah chinfel a ni tawh.,12 of those have already been settled in Court.,12 of them have already been settled in Court.
India mipuiin Mahendra Singh Dhoni leh a nauteah rinna a nghat á¹­an.,The Indian public is starting to put their faith in Mahendra Singh Dhoni and his team.,The people of India started placing their trust in Mahendra Singh Dhoni and his boys.
Siampuia chu a damchhuak thei ta a ni.,Siampuia managed to survive.,Siampuia was able to survive.
English i thiam hle mai.,You speak English very well.,You're good at English.
Dr. Saithantluangi Zote-in he huna kalkhawmte chu zirtirna pe bawk.,Dr. Saithantluangi Zote also gave teachings to those gathered at this event.,Dr. Saithantluangi Zote also gave training to those gathered at this event.
English club inhal ber sawi rawh?,Name the biggest English club rivalry?,Say the most reserved English club?
Salem kan tih ve ziah hi Jerusalem tihna a ni mai em.,"""Remember, all that is going on is about Jerusalem.""",What we call Salem is simply Jerusalem.
MLA nih leh Politik Khawvel.,Being an MLA and the Political World.,Being an MLA and a Political World.
Sangtea hian website a kalpui a.,Sangtea runs a website.,Sangtea is running a website.
Vana leh Pari chuan French an la zir.,Vana and Pari are still studying French.,Vana and Pari are still studying French.
Hmalak dan turah leh thlalak lama hmasawn thei turin Japan atanga mithiam rawn tirh theih an beisei.,They expect experts from Japan to be sent to help with future steps and improvements in photography.,They expect experts from Japan to be able to send them to take action and to be able to improve in photography.
Tukverh ti keh tu kha keimah ka ni tih Kunga-an engtin nge a hriat?,How did Kunga find out it was me who broke the window?,How did Kunga know I was the one who broke the window?
Chanchin ziak chu Ezra'n chu mi rama mite laka mahni intibawlhhlawhte thianfai tura a hmalaknain a tawp a.,The narrative ends with Ezra's taking measures to cleanse those who have defiled themselves with the people of the land.,The narrative ends with Ezra's initiative to cleanse the people of the land of their own spoil.
Puia leh Siami ten John an an thil siam sak a ei duh loh chhan an ngaihtuah.,Puia and Siami wondered why John didn't want to eat what they'd made for him.,Puia and Siami wondered why John didn't want to eat what they made.
Stephen-a a chak dawn.,Stephen is gonna win.,Stephen is going to win.
Mizo á¹­awng erawh chuan raltlan kan ti vek mai a ni.,"""In Mizo language, however, we just call them all refugees.""","""In Mizo, however, we call it all refugees."""
"""IPRO C Lalhruaitluanga chuan, kum 2023 chhunga Kolasib MJA-te nen an thawhhonaah tih fuh tÃ¢wk loh awm theiah thupha a chawi.""",IPRO C Lalhruaitluanga apologized for any possible shortcomings in their collaboration with Kolasib MJA during 2023.,IPRO C Lalhruaitluanga apologized for any poor performance in their collaboration with Kolasib MJA during 2023.
Patea tuallenna Khawbungah kum 1940-1960 vela zaikhawm chungchang tawitein i lo sawi teh ang.,"""Let me briefly speak about the group singing zaikhawm around 1940-1960 in Khawbung, where Uncle grew up.""",Let's briefly talk about singing in Patea's Tualen village around 1940-1960.
Court em thleng lova bungrua lo inchhuhsak ta te pawh an awm bawk.,There are also those who confiscated goods from each other without even reaching the Court.,There are also those who confiscated goods without reaching even the Court.
Meeting chuan Serkhan leh Saiphai inkar pawh en pui nise an ti.,The meeting suggested that the road between Serkhan and Saiphai should also be inspected.,The meeting decided to also inspect the relationship between Serkhan and Saiphai.
Zira chu laboratory-ah a thawk.,Zira works in the laboratory.,Zira works at a laboratory.
"""Pu M. Laikaw, CEM, MADC chu khualzahawm a ni.""","""Pu M. Laikaw, CEM, MADC was the Guest of Honour.""","""Pu M. Laikaw, CEM, MADC was the Guest of Honour."""
Liani chuan Thawhtanni-a chutianga tih a tum thu a sawi.,Liani said she planned to do that on Monday.,Liani said she plans to do that on Monday.
Mumbai hian á¹­um hnih zet chu a khum tawh nge nghe.,Mumbai has already overtaken them twice.,Mumbai has indeed surpassed them twice.
Japanese ho in tuna ei an duh.,Japanese people like to eat tuna.,Japanese people want to eat now.
India ramah a pa kaihhruaina hnuaiah a thiamna te a taka hmang turin a lo kir thuai a.,He soon returned to India to put his skills to practical use under his father's leadership.,"""In India, under his father's guidance, he soon returned to use his skills in reality."""
"""Min hrilh duh i nei em, Thara?""","""Is there something you want to tell me, Thara?""","""Do you have anything you want to tell me, Thara?"""
Vur thlipui nasa tak avangin Tom chu ni 10 chhung a tang.,Tom was trapped for ten days by a terrible blizzard.,Tom was stuck for 10 days due to a severe snowstorm.
"""Lirtheia eizawngtu ten Vairengte, Sairang, Kawnpui leh Durtlang kawng siamtha turin a nawr nan kawng an dang.""","""Those who earn a living by driving blocked the road to demand the repair of Vairengte, Sairang, Kawnpui and Durtlang roads.""","""For those who earn a living by vehicle, they blocked the road to repair the Vairengte, Sairang, Kawnpui and Durtlang roads."""
"""Joba te hunah hian zÃ¢wlnei kan tih ang hi an lo awm tawh rÃªng nge nia, khawi aá¹­angin nge hÃªng thute hi an hriat ang le?""","""Were there people we call prophets in Job's time, or where would they have heard these words?""","""Since there are already prophets like we call prophets in Job's time, from where would they hear these words?"""
NIELIT hi zirna hmanrua á¹­ha tak taka thuam a ni a.,NIELIT is equipped with very good learning tools.,NIELIT is equipped with very good educational equipment.
Lali chuan ti tura a sawi chu a ti.,Lali did what she said she'd do.,Lali did what she said she'd do.
"""Mizoramah a awm reiin, Mizo tawng pawh a thiam nal hle.""","""Having lived in Mizoram for a long time, he is also very fluent in Mizo.""","""He has been in Mizoram for a long time, and he knows the Mizo language very well."""
Kuminah hian Alicia Keys chu zai turin an be fel tawh.,They have already finalized the arrangement for Alicia Keys to sing this year.,"""This year, they have already contacted Alicia Keys to sing."""
Kima an a hmu lo che tih i chiang em?,Are you sure that Kima didn't see you?,Are you sure Kima didn't see you?
Muana chuan Thari tawngdan atangin Ireland mi a nih a rin thu a sawi.,Muana could tell by Thari's accent that she was probably from Ireland.,Muana said he thought that Thari was from Ireland.
Zuala chuan a thil hmuh chu mak a ti hle.,Zuala was shocked by what he saw.,Zuala was surprised by what he saw.
PWD hnuaiah PMGSY hna Lunglei Division hnuaiah hna 6 kalpui mekin Tlabung Division hnauiahhna 21 kalpui mek bawk a ni.,"""Under PWD, 6 PMGSY works are being implemented under Lunglei Division, and 21 works are also being implemented under Tlabung Division.""","""Under PWD, 6 works are being carried out under PMGSY's work in Lunglei Division, and 21 near Tlabung Division are also being implemented."""
Aizawl atanga km 35 a hla a awm a ni.,It is located 35 km away from Aizawl.,It is located 35 km from Aizawl.
BNP leh Jamaat hi bumhmang mai an ni a ti.,It is said BNP and Jamaat work closely together.,He said that BNP and Jamaat are just scams.
"""Report dangah erawh Pakistan, Afghanistan leh Syria vela cheng ang pawha sawi a ni.""","""Other reports mention that they are located in countries such as Pakistan, Afghanistan and Syria.""","""In other reports, however, it is said to be similar to those living in Pakistan, Afghanistan and Syria."""
Ukraine hnenah pawh hian tam tham an pek a rinawm loh.,It is unlikely that they gave a significant amount to Ukraine either.,It is unlikely that they will pay much to Ukraine either.
Thutlukna chu Mizo club kutah a awm ang.,The decision will be in the hands of the Mizo club.,The decision will be in the hands of the Mizo club.
"""VÃ¢nlalrÃ¢wni, InkhÃ¢wmpui Lian Chairman a á¹­awngá¹­ai a.""","""VÃ¢nlalrÃ¢wni, InkhÃ¢wmpui Lian Chairman, prayed.""","""VÃ¢nlalrÃ¢wni, Conference Chairman, prayed."""
Liana chuan Zomuani chu card te chu a pe a.,Liana gave Zomuani the cards.,Liana gave Zomuani the cards.
Bill tang zawng zawng kumin 2022 chhung ngeia pe vek turin Mizoram sawrkar an phut.,They demanded the Mizoram government to pay all outstanding bills within 2022.,They demanded the Mizoram government to pay all pending bills within this year 2022.
A tawp lam darkar hnih chu Netherlands thlen hman tumin tlang ram kawngah km 60 chuang a tlan a.,"""In the last two hours, trying to reach Netherlands in time, he drove over 60 km on mountain roads.""","""Towards the end, he drove over 60 km on the hill road to Netherlands for two hours."""
Kungliani te inah chuan kan chhui lut chat mai.,We tracked it right into Kungliani's house.,We just walked into Kungliani's house.
Ramria kawng laihte chu Mizoram mipuiin á¹­ha an ti.,The people of Mizoram consider the roads dug at the border to be good.,The people of Mizoram regard the middle of the border as good.
"""Tin, anni pawh chu Jerusalem-ah an unaute zingah, an unaute depah an awm a.""",They rejoiced when their brothers in Jerusalem had been defeated.,"""And they were also among their brothers in Jerusalem, beside their brothers."""
Hminga chuan á¹­awng pakhat aia tam hria se a inti.,Hminga wished he knew more than one language.,Hminga wished he knew more than one language.
Nunpuii chuan mutna damdawi a ei a.,Nunpuii took sleeping pills.,Nunpuii was taking sleeping pills.
"""Khualzahawm, Mizoram Industrier minister H Rohluna chuan, Mizo á¹­ha-laiten khÃ¢wl á¹­ha tak tak hmanga an thiamna belhchhah.""","""Chief Guest, Mizoram Industries Minister H Rohluna said, Mizo youth enhancing their skills using very good machines.""","""Guest of Honour, Mizoram Industries Minister H Rohluna said, adding to the skill of good Mizos using very good machines."""
Darkar thum liam ta khan Thanga ka bia.,I just talked to Thanga three hours ago.,I talked to Thanga three hours ago.
A tih dan hrilh tur che in Thanga zawt rawh.,You should ask Thanga to tell you how to do that.,Ask Thanga to tell you how to do that.
Vawiin hian Police bakah hian team tha tura ngaih Aizawl FC Academy an inlan dawn.,"""Besides Police, Aizawl FC Academy, considered a good team, will appear today.""","""Today, besides the Police, Aizawl FC Academy, considered a good team, will appear."""
"""District Election Officer, Kumar Abhishek, IAS, chuan khuallian niin a hmanpui.""","""District Election Officer Kumar Abhishek, IAS, attended as the chief guest.""","""District Election Officer Kumar Abhishek, IAS attended as the Chief Guest."""
Paula pawhin â€˜Eng lai pawha Kohhranho ka ngaihtuahna min delh rengtuâ€™ a tih ang kha kan ngaihtuahna ni thei se a tha ngawt ang.,"""It would be great if our thoughts could be like Paul's when he said, 'The daily pressure on me of my concern for all the churches.'""",It would be very good if we could consider what Paul said: 'Whatever thing the Church desires for me'.
Hruaia chu Zami nen lawngah an chuang.,Hruaia got in the boat with Zami.,Hruaia is on a boat with Zami.
Oxygen indaihlohna avanga nunna chan phah awmtir an tum lo tih CM chuan a sawi.,The CM said they do not intend to let anyone lose their life due to oxygen shortage.,The CM said that they do not intend to allow the loss of life due to oxygen shortage.
Sandler hian Kids Choice Awards hi 10 a dawng tawh.,Sandler has won 10 Kids Choice Awards.,Sandler has already won 10 Kids Choice Awards.
"""Khartoum leh Darfur bial aá¹­angin mi sang tel chu an á¹­henawm, Chad ramah an tlanchhe tawh.""","""Thousands of people from Khartoum and Darfur regions have fled to the neighboring country, Chad.""","""The thousands from Khartoum and Darfur regions have fled to their neighboring Chad land."""
Faka tan rawng ka bawl sak i ring em?,Do you think I should cook for Faka?,Do you think I cook for Faka?
Hruaia chu he lai hnaiah hian a awm.,Hruaia is around here somewhere.,Hruaia is around here.
Ka hrilh khan Tluanga-an mak a ti hle.,Tluanga was surprised when I told him.,Tluanga was surprised when I told him that.
Faka mit vei lam a del.,Faka has lost sight in his left eye.,Faka's left eye is blind.
Nunpuia a dam hmel vak lo.,Nunpuia isn't looking very well.,Nunpuia doesn't look very well.
Zira chu a luhlul ve hrim hrim.,Zira is just being stubborn.,Zira is just being stubborn.
Hruaia chu psychiatrist a ni.,Hruaia is a psychiatrist.,Hruaia is a psychiatrist.
"""Tuman vÃ»r tleng an thiam lo, mahse Laurie hian a thiam.""","""No, either of them skis, but Laurie does.""","""No one can swim, but Laurie can."""
"""US sawrkar chuan mitang khirh bik a dahna hmun, Guantanamo Bay kharna tura ruahmanna chu a tifel hnai tawh.""","""The US government has nearly finalized plans to close Guantanamo Bay, the detention center for high-value detainees.""","""The US government has already finalized the plan to close Guantanamo Bay, a place where special addicts are stationed."""
Kum 1964 khan Harrison leh Pattie Boyd te hi an intawng.,Harrison and Pattie Boyd met in 1964.,Harrison and Pattie Boyd met in 1964.
Nizan khan Durtlang North leh Tuichangral ten semifinal hmasa zawk an khel tawh.,Durtlang North and Tuichangral played the first semifinal last night.,"""Last night, Durtlang North and Tuichangral played the first semifinal."""
Chanmari bakah Kanan Veng hnehtu Bungkawnte chiahin hnehna an chang.,"""Besides Chanmari, only Bungkawn, who defeated Kanan Veng, achieved victory.""","""Besides Chanmari, only Bungkawns who defeated Kanan Veng won."""
Chutia Mizoram pawn Club á¹­haa Mizo tlangval lo inthiat fer fur mai chuan rilru a chawk hlim takzet a ni.,Seeing so many Mizo young men playing in a good club outside Mizoram really gladdened my heart.,"""Similarly, the fact that a Mizo young man who doesn't just kill himself as a good Club outside Mizoram has truly touched his heart."""
Ruata hnenah kha lehkhabu kha ka pe.,I gave Ruata that book.,I gave Ruata that book.
Dinga'n a chak tawh hle.,Dinga is already looking forward to it.,Dinga is very strong now.
Chutihrualin Spurs hian pound maktaduai 3-in Hojbjerg manah hian sum an seng tam ang.,"""However, Spurs will spend 3 million pounds more for Hojbjerg.""","""At the same time, Spurs will spend a lot of money for Hojbjerg for 3 million pounds."""
"""Social security scheme PMJJBY hnuaiah inziaklut 5429 awmin, PMSBY hnuaia inziaklut 7890 leh APY hnuaiah 616 an inziaklut a.""","""Under the social security scheme PMJJBY, there are 5429 enrollments, 7890 under PMSBY, and 616 under APY.""","""There are 5429 registered under the Social Security scheme PMJJBY, 7890 registered under PMSBY and 616 registered under APY."""
He thu hi French tawngah a awm lo.,This word doesn't exist in French.,This word is not in French.
Vawiin zing khan ZPM hruaitu pathumte chuan ZPM aá¹­anga banna an thehlut.,This morning three ZPM leaders resigned from ZPM.,"""This morning, three ZPM leaders submitted their resignation from ZPM."""
Mawlynnong-ah hian mihring 500 vel bawr an cheng.,About 500 people live in Mawlynnong.,About 500 people live in Mawlynong.
Hminga chuan naupang a nih lai aá¹­angin Mawii a hre tawh.,Hminga has known Mawii since he was a kid.,Hminga has known Mawii since he was a kid.
Faka chuan Zoremi nen an thawk dun a.,Faka worked with Zoremi.,Faka worked with Zoremi.
Chhani chuan amah a tih a ngaih thu a sawi.,Chhani said she needs to do that by herself.,Chhani said she needed to do that by herself.
"""Puia, min ngaithla turin ka duh che.""","""Puia, I want you to listen to me.""","""Puia, I want you to listen to me."""
Hriata chauhvin thlarau a hmu thei.,Only Hriata could see the ghost.,Hriata is the only one who can see the ghost.
Chu chu Thanga chuan a hrethiam hle a.,Thanga understood that very well.,Thanga understood that.
Hriata chuan Manuni aiin a chungnung zawkin a hria a.,Hriata felt he was superior to Manuni.,Hriata felt superior to Manuni.
"""Mr. Green, phone-ah biak duh che an awm.""","""Mr. Green, you are wanted on the phone.""","""Mr. Green, there's someone on the phone who wants to talk to you."""
Kumin chhungin Zyhno khuaah Myanmar atanga raltlan mi 1000 chuang an lut tawh.,Over 1000 refugees from Myanmar have entered Zyhno village this year.,Over 1000 refugees from Myanmar have entered Zyhno village this year.
I ti thei chu a lawm hle thu Dina-an a sawi.,Dina says he's glad you could make it.,Dina said he's glad you were able to do that.
Dama-an Mary-i a riltam tih a hria.,Dama knew Mary was hungry.,Dama knew that Mary was starved.
Chhani chuan a chauhin a ti á¹­hin.,Chhani sometimes does that when she's tired.,Chhani does that by herself.
"""Lalzamliani Sailo Electric Veng, Aizawl Dt. Kan nau Jonathan Lalmuanpuia kum 7 mi chu a thianpa Fredy nen inrela an awm chu chesualin Jonathan-a chu a tla palh ta hlauh mai a.""","""Lalzamliani Sailo, Electric Veng, Aizawl. Dt. Our younger brother Jonathan Lalmuanpuia, 7 years old, was playing on the terrace with his friend Fredy when he unfortunately had an accident and fell.""","""Lalzamliani Sailo, Electric Veng, Aizawl Dt. Our younger brother Jonathan Lalmuanpuia, 7 years old, was in a rage with his friend Fredy, so Jonathan suddenly fell."""
Ruata hringtu nu leh pa ten fa atan mi an pe.,Ruata's biological parents gave him up for adoption.,Ruata's stepfather and parents gave him people for kids.
Petrol pawlh dal hi Mizorama kan hmu phak tawk a nia.,Adulterated petrol is about all we get to see in Mizoram .,We can see enough of the group of petrol being mixed in Mizoram.
Zama chuan Mawii purse ah silai a hmu.,Zama found a gun in Mawii's purse.,Zama found a gun in Mawii's purse.
Chiri avanga thil pawi dang thleng thei erawh a awm.,"""However, there are other harmful things that can happen because of Chiri.""","""However, there are other things that can happen due to Chiri."""
"""Chhani chu zawhna eng emaw zat ka zawt a, a vaiin a chhang vek.""",I asked Chhani some questions and she answered all of them.,I asked Chhani some questions and she answered them all.
"""Pahnihna hian Rs.3,000 bakah Trophy leh Medal an dawng bawk.""","""The second place winner also received Rs.3,000 along with a Trophy and Medal.""","""The runner-up received Rs.3,000 as well as a Trophy and Medal."""
Kunga'n tih a tum lo a ti.,Kunga says he doesn't intend to do that.,Kunga says he doesn't plan on doing that.
Goal hnih tal khung mamawh Chawngthansanga hoten attacking football an khel.,"""Needing to score at least two goals, Chawngthansanga's team played attacking football.""","""Chawngthansanga's team, needing at least two goals, played attacking football."""
Chhani chuan ka hrilh ngai loh avangin a hre lo.,Chhani didn't know because I never told her.,Chhani doesn't know why I never told her that.
Feli hming lai tak chu eng nge ni?,Whats Feli's middle name.,What's Feli's middle name?
Vana leh Pari'n an tih a ngai ve ve.,Vana and Pari both had to do that.,Vana and Pari both have to do that.
Rina leh kei in French kan hmang.,Both Rina and I speak French.,Rina and I both speak French.
"""Ka hna avangin, kar lehah Tokyo-ah ka awm ang.""","""Because of my job, I will be in Tokyo next week.""","""Because of my job, I'll be in Tokyo next week."""
Khuma-an Rini lo á¹­hian á¹­har a neih a hun tawh.,It's time for Khuma to make a new friend besides Rini.,It's time for Khuma to have a new friend named Rini.
Old Trafford-ah hlim ni kawl Ãªng ve tak ang maw?,Will there be a bright happy day at Old Trafford?,Will you really have a happy day at Old Trafford?
"""Khawbel hi zawh tawh niin, Khawlailung pawh chak taka thawh mÃªk a ni.""","""Khawbel is already completed, and work is progressing vigorously in Khawlailung as well.""","""Khawbel has been completed, and Khawlailung is also being worked fast."""
"""Bhutan, Bangladesh leh Japan aá¹­anga lo kal an awm bawk a ni.""","""There are also those coming from Bhutan, Bangladesh, and Japan.""","""There are also people from Bhutan, Bangladesh and Japan."""
"""Japan-ah chuan Germany tui supply in tlak loh a ngaih a ni thin a, mahse hei hi a dik lo.""","""In Japan it's generally thought that Germany's water supply isn't suitable for drinking, but this is a mistake.""","""In Japan, Germany's water supply is often considered unreliable, but this is incorrect."""
Minute 15 hnuah Pellegrini in goal a khung belh.,"""After 15 minutes, Pellegrini scored another goal.""","""After 15 minutes, Pellegrini scored another goal."""
Ngawi renga kal David-an a tum lo.,David is not planning on going quietly.,David didn't intend to go there silently.
Michigan-a khawpui lian ber eng nge?,What is the largest city in Michigan?,What's the largest city in Michigan?
Naktukah Thara Boston panin a kal ang.,Thara leaves for Boston tomorrow.,Thara is going to go to Boston tomorrow.
Zuala chu zanlai thlengin a lo haw lo.,Zuala didn't get home till midnight.,Zuala didn't come home until midnight.
David-a'n he nu hi a ning tawh.,David was just fed up of this woman.,David is tired of this mother.
Kapa á¹­hian á¹­ha ber i nih ka ring.,I thought you were Kapa's best friend.,I think you're Kapa's best friend.
Khawpui changkang leh changkanglo tehfung tha deuh chu Traffic system hi ni.,A good yardstick for a developed or undeveloped city is this Traffic system.,The traffic system is a very good measure of the modern and unstable city.
Zuala chuan Boston a a kal tum hnuhnung ber khan Rami tlawh na hun a nei lo.,Zuala didn't have a chance to visit Rami the last time he was in Boston.,Zuala didn't have the time to visit Rami the last time he was going to Boston.
Fela chu Pari-i in tur ah eng emaw pawlh a puh a ni.,Fela was accused of putting something in Pari's drink.,Fela has been accused of interfering with Pari's house.
Thomas chuan mi zawng zawng a hnawtchhuak ang.,Thomas will kick everyone out.,Thomas is going to turn everybody's back on him.
MSSTA ah hian member 2094 an awm mek a.,There are currently 2094 members in MSSTA.,There are currently 2094 members in MSSTA.
An veng miten á¹­anpuina an dawng theih avangin sawrkar leh MFM-te chungah lawmthu an sawi.,They thanked the government and MFM because the people of their locality could receive assistance.,They thanked the government and MFM for being able to receive assistance from their localities.
Chu chu Thanga-an a buaipui ang.,Thanga will take care of that.,Thanga is going to take care of that.
Ruata hi mipa hmeltha tak a ni.,Ruata is an attractive guy.,Ruata is a pretty guy.
